recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,primarily_steam_deck,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played,author.deck_playtime_at_review
200906400,english,76 hours on fallout 76,1753700274,1753700274,True,0,0,0.5,0,True,False,False,False,76561199237010390,70,8,4584,4,4580,1753700820,
200898996,english,It's gotten so much better over the years,1753690163,1753690163,True,0,0,0.5,0,True,False,False,False,76561199536731892,0,7,2530,2530,2354,1753704937,
200882094,latam,"Soy fanática de la saga Fallout, pero esta cagada de juego no se lo compren ni aun que salga dos pambicoin. Estaría buenisimo si se dejara jugar, pero se la pasa cerrado, va a dos fps y se crashea a cada rato. Mi pc se banca el red dead, los dos tlou, como puede ser que no ande esta basura??

Todd Howard devolveme la plata ratón",1753665540,1753665540,False,0,0,0.5,0,True,False,False,False,76561199168783456,0,6,303,81,303,1753497002,
200881951,latam,"Pues, como empezar, bethesda siempre ha hecho un trabajo pesimo, no ha cambiado de motor desde quien sabe cuando, lanza actualizaciones que dejan el juego peor de lo pasable que ya era (resulto con mods de la comunidad), y lanza parches para tirar los mods que solucionan lo que no arreglan, si, fallout 76 nacio muerto, salio plagado de bugs, sin vida, con una modalidad de campaña a base de holocintas, robots y notas, el juego era pesimo cuando salio, si bien esta vez bethesda ha trabajado por arreglar su juego, y no dejarlo en el olvido como starfield, eh jugado ya un poco, y no a estado mal, es jugable, se ha vuelto medianamente disfrutable, aunque algo tedioso lo de su suscripcion que es un asco, y solo sirve para ventajas que ya deberian estar en el juego base, fuera de eso, es recomendable si mantienes un control de tu inventario, esta bueno, al menos si ya conoces a bethesda y su modo de trabajar, sabras que al menos es un juego aceptable.",1753665343,1753665343,True,0,0,0.5,0,True,False,False,False,76561199735366427,0,8,1766,1079,1613,1753688190,
200880731,english,"After all the updates, I got it at sale price for $15 for a friend, and we've had a blast since then. Definitely worth it.",1753663763,1753663763,True,0,0,0.5,0,True,False,False,False,76561198212648891,0,15,4563,2588,4185,1753686618,
200879141,english,Fullut,1753661626,1753661626,True,0,0,0.498826295137405396,0,True,False,False,False,76561199446379711,0,1,6576,1273,6424,1753670722,
200872619,english,"average fallout76 enjoyer

⣿⣿⣿⣿⣿⣿⣿⣿⡿⠿⠛⠛⠛⠋⠉⠈⠉⠉⠉⠉⠛⠻⢿⣿⣿⣿⣿⣿⣿⣿⠀
⣿⣿⣿⣿⣿⡿⠋⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠉⠛⢿⣿⣿⣿⣿⠀
⣿⣿⣿⣿⡏⣀⠀⠀⠀⠀⠀⠀⠀⣀⣤⣤⣤⣄⡀⠀⠀⠀⠀⠀⠀⠀⠙⢿⣿⣿⠀
⣿⣿⣿⢏⣴⣿⣷⠀⠀⠀⠀⠀⢾⣿⣿⣿⣿⣿⣿⡆⠀⠀⠀⠀⠀⠀⠀⠈⣿⣿⠀
⣿⣿⣟⣾⣿⡟⠁⠀⠀⠀⠀⠀⢀⣾⣿⣿⣿⣿⣿⣷⢢⠀⠀⠀⠀⠀⠀⠀⢸⣿⠀
⣿⣿⣿⣿⣟⠀⡴⠄⠀⠀⠀⠀⠀⠀⠙⠻⣿⣿⣿⣿⣷⣄⠀⠀⠀⠀⠀⠀⠀⣿⠀
⣿⣿⣿⠟⠻⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠶⢴⣿⣿⣿⣿⣿⣧⠀⠀⠀⠀⠀⠀⣿⠀
⣿⣁⡀⠀⠀⢰⢠⣦⠀⠀⠀⠀⠀⠀⠀⠀⢀⣼⣿⣿⣿⣿⣿⡄⠀⣴⣶⣿⡄⣿⠀
⣿⡋⠀⠀⠀⠎⢸⣿⡆⠀⠀⠀⠀⠀⠀⣴⣿⣿⣿⣿⣿⣿⣿⠗⢘⣿⣟⠛⠿⣼⠀
⣿⣿⠋⢀⡌⢰⣿⡿⢿⡀⠀⠀⠀⠀⠀⠙⠿⣿⣿⣿⣿⣿⡇⠀⢸⣿⣿⣧⢀⣼⠀
⣿⣿⣷⢻⠄⠘⠛⠋⠛⠃⠀⠀⠀⠀⠀⢿⣧⠈⠉⠙⠛⠋⠀⠀⠀⣿⣿⣿⣿⣿⠀
⣿⣿⣧⠀⠈⢸⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠟⠀⠀⠀⠀⢀⢃⠀⠀⢸⣿⣿⣿⣿⠀
⣿⣿⡿⠀⠴⢗⣠⣤⣴⡶⠶⠖⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣀⡸⠀⣿⣿⣿⣿⠀
⣿⣿⣿⡀⢠⣾⣿⠏⠀⠠⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠛⠉⠀⣿⣿⣿⣿⠀
⣿⣿⣿⣧⠈⢹⡇⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣰⣿⣿⣿⣿⠀
⣿⣿⣿⣿⡄⠈⠃⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣠⣴⣾⣿⣿⣿⣿⣿⠀
⣿⣿⣿⣿⣧⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣠⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿⠀
⣿⣿⣿⣿⣷⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣴⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠀
⣿⣿⣿⣿⣿⣦⣄⣀⣀⣀⣀⠀⠀⠀⠀⠘⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠀
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⡄⠀⠀⠀⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠀
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣧⠀⠀⠀⠙⣿⣿⡟⢻⣿⣿⣿⣿⣿⣿⣿⣿⣿⠀
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠇⠀⠁⠀⠀⠹⣿⠃⠀⣿⣿⣿⣿⣿⣿⣿⣿⣿⠀
⣿⣿⣿⣿⣿⣿⣿⣿⡿⠛⣿⣿⠀⠀⠀⠀⠀⠀⠀⠀⢐⣿⣿⣿⣿⣿⣿⣿⣿⣿⠀
⣿⣿⣿⣿⠿⠛⠉⠉⠁⠀⢻⣿⡇⠀⠀⠀⠀⠀⠀⢀⠈⣿⣿⡿⠉⠛⠛⠛⠉⠉⠀
⣿⡿⠋⠁⠀⠀⢀⣀⣠⡴⣸⣿⣇⡄⠀⠀⠀⠀⢀⡿⠄⠙⠛⠀⣀⣠⣤⣤",1753653579,1753653579,True,2,1,0.509696364402770996,0,True,False,False,False,76561198045212213,280,43,35375,2017,35375,1753653260,
200851946,english,the advertising and premium shit is annoying but it's a decent game to play with a friend overseas.,1753634374,1753634374,True,0,0,0.498826295137405396,0,True,False,False,False,76561198048813052,0,5,1250,1169,888,1753656151,
200848676,english,"The game has definitely improved since it's initial disaster of a launch. Its fleshed out quite nicely and I love the different themes of each season along with the fact I dont have to pay premium for the season pass. I do dislike the stash size. I mean this is a game that encourages you to hoard.....give me the room to do my hoarding. How am I supposed to supply myself and the rest of Appalachia with fine wares and arms if I dont have the storage space????  The community for the most part seemed warm, welcoming, and friendly. Although people that will just emote at you instead of helping you up until you die have been on the rise during events. Some are just so OP you cant get any kills in at all if you are a melee build because they will make sure they kill everything before you and emote at you while doing it. The community has always had some toxic people I get that but it seems like I run into it more and more now. When I first started playing the game was the problem but the more I've been playing lately the people are becoming the problem and that's sad because I miss the community that was there to help, lift each other up, and survive in the disaster that is left of the world. Guess to many have joined the Blood Eagles at this point. It's a shame. Anywho, I recommend the game.",1753631709,1753631709,True,0,0,0.498826295137405396,0,True,False,False,False,76561198394633199,0,3,15213,9018,14814,1753667112,
200843001,italian,sex,1753627324,1753627324,True,0,0,0.5,0,True,False,False,False,76561199555278514,0,2,282,282,203,1753704384,
